locale,play_console_locale,review_status,asset_id,asset_kind,device,position,headline,supporting_copy,measurement_copy,alt_text,alt_text_characters,claim_evidence,evidence_gate
"en-US","en-US","COPY_APPROVED_ASSET_SOURCE_BLOCKED","app-icon-512","icon","common","","","","","Blue and purple layered photo cards with inward compression arrows, the Photo Compressor & BG Remover app icon.","111","localization-brand-audit.md — brand and icon audit","Authoritative ic_splitframe_logo.png is missing; do not call the icon final until the source is supplied or confirmed."
"en-US","en-US","COPY_APPROVED_VISUAL_EVIDENCE_REQUIRED","feature-graphic","feature-graphic","feature-graphic","","Smaller Photos. Clean Backgrounds.","Compress • Remove • Replace","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","A real photo transformation pairs a smaller file with a clean-background result and the app's result panel.","107","feature-evidence.md — compression; background removal; solid-color replacement","Use the same-run measured result panel and genuine app-created transformation; no invented numbers or edited mask."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-01-compression","screenshot","phone","1","Smaller Photos. Still Sharp.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","feature-evidence.md — file-size savings; before/after comparison","Populate tokens from one retained real run; use unaltered source/result 100% crops; reject the frame if the detail does not support the headline."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-02-background-removal","screenshot","phone","2","Remove Backgrounds Easily","","","The app removes a photo background and shows the real cutout over a checkerboard transparency pattern.","102","feature-evidence.md — background removal; transparent export","Use the real app-created cutout. The required headline is Easily, never in one tap, instant, or perfect."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-03-solid-color","screenshot","phone","3","Replace with Any Solid Color","White • Blue • Green • Red","","A real cutout appears on white, blue, green, and red solid backgrounds beside the app's color controls.","103","feature-evidence.md — solid-color background replacement","Reuse the same real cutout and real palette/custom-RGB workflow; do not imply photo-scene or generated backgrounds."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-04-batch","screenshot","phone","4","Compress More Photos at Once","","","The app processes several selected photos, showing real batch progress and completed compression results.","105","feature-evidence.md — batch compression","Compose only compatible real selection, progress, and completion crops; do not fabricate one impossible app state."
"en-US","en-US","COPY_APPROVED_CAPTURE_REQUIRED","phone-05-resize","screenshot","phone","5","Resize by Percent or Pixels","25% • 50% • 75% • Custom width & height • Maintain aspect ratio","","Resize controls show 25%, 50%, 75%, custom width and height, and the maintain-aspect-ratio option.","98","feature-evidence.md — percentage resizing; custom dimensions","Show only controls present in the real app; no social, email, passport, or platform presets."
"en-US","en-US","COPY_APPROVED_CAPTURE_REQUIRED","phone-06-format","screenshot","phone","6","Convert JPG, PNG & WEBP","","","The app's format controls and result screen show real conversion among JPG, PNG, and WEBP.","90","feature-evidence.md — format conversion","Use a real conversion flow and generic format labels; do not imply arbitrary formats."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-07-comparison","screenshot","phone","7","See the Difference","","Original {ORIGINAL_SIZE} • Processed {PROCESSED_SIZE} • {PERCENT_SAVED}% saved • {COMPRESSION_RATIO}:1","Original and processed previews appear with real sizes, percentage saved, and compression ratio.","96","feature-evidence.md — comparison; statistics","Populate all tokens from the same real run; do not add a slider or present a marketing detail crop as an in-app zoom feature."
"en-US","en-US","COPY_APPROVED_OUTPUT_INSPECTION_REQUIRED","phone-08-trust","screenshot","phone","8","Image Processing Stays on Device","Images aren't uploaded for processing • No account required • No watermark added by the app • Save and share easily","","On-device image processing is explained with no account required, no watermark added, save, and share.","102","feature-evidence.md — on-device processing; no account; no watermark; save/share","Inspect the real output for no app-added watermark. Keep the claim scoped to image processing; never say the whole ad-supported app is offline or collects no data."
"en-US","en-US","EXPERIMENT_COPY_APPROVED_MEASUREMENT_REQUIRED","experiment-01-a-savings","experiment-screenshot","phone","1","This Photo File Is {PERCENT_SAVED}% Smaller","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","experiment-plan.md — Experiment 1 cell A","Populate the sample-specific number from real evidence. Keep all visual evidence identical to cell B; change headline/value emphasis only."
"en-US","en-US","EXPERIMENT_COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","experiment-01-b-quality","experiment-screenshot","phone","1","Smaller Photos. Still Sharp.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","experiment-plan.md — Experiment 1 cell B","Keep all visual evidence identical to cell A; change headline/value emphasis only. Detail crops must support the wording."
"en-US","en-US","CUSTOM_LISTING_CANDIDATE_RUNTIME_EVIDENCE_REQUIRED","custom-bg-removal-first","carousel-order","phone","1","Remove Backgrounds Easily","","","The app removes a photo background and shows the real cutout over a checkerboard transparency pattern.","102","experiment-plan.md — Candidate 2","For a verified background-removal-intent segment, move the unchanged background frame to position 01 and compression to 02; do not alter other assets."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","app-icon-512","icon","common","","","","","Photo Compressor & BG Remover का ऐप आइकन: नीले और बैंगनी लेयर्ड फ़ोटो कार्ड और अंदर की ओर कम्प्रेशन तीर।","104","localization-brand-audit.md — Hindi app locale present","Qualified Hindi alt-text review and final visual matching required; icon source blocker also applies."
